ID,RxLat,RxLon,d__km,L_btl__db,Elev_t_rx__meter,timeOffset__sec
1,40.779643,-111.885664,3.0875,116.57,1396.3,0.01816
2,40.779642,-111.885665,3.0876,116.65,1396.2,0.06816
3,40.77964,-111.885665,3.0878,116.91,1396.2,0.11816
4,40.779638,-111.885666,3.0881,116.26,1396.2,0.16816
5,40.779637,-111.885667,3.0882,115.01,1396.2,0.21816
6,40.779635,-111.885668,3.0884,114.17,1396.2,0.26816
7,40.779633,-111.885668,3.0886,114.53,1396.1,0.31816
8,40.779631,-111.885669,3.0889,114.54,1396.1,0.36816
9,40.779629,-111.885669,3.0891,113.26,1396.1,0.41816
10,40.779627,-111.88567,3.0893,112.29,1396.1,0.46816
11,40.779626,-111.885671,3.0894,112.14,1396.1,0.51816
12,40.779624,-111.885671,3.0896,112.16,1396,0.56816
13,40.779622,-111.885672,3.0899,111.78,1396,0.61816
14,40.77962,-111.885672,3.0901,111.84,1396,0.66816
15,40.779618,-111.885673,3.0903,112.76,1396,0.71816
16,40.779616,-111.885674,3.0906,112.9,1395.9,0.76816
17,40.779614,-111.885674,3.0908,111.98,1395.9,0.81816
18,40.779611,-111.885675,3.0911,110.68,1395.9,0.86816
19,40.779609,-111.885675,3.0913,110.24,1395.8,0.91816
20,40.779607,-111.885676,3.0916,110.73,1395.8,0.96816
21,40.779605,-111.885676,3.0918,111.51,1395.8,1.01816
22,40.779603,-111.885677,3.092,111.65,1395.8,1.06816
23,40.779601,-111.885677,3.0922,111.44,1395.7,1.11816
24,40.779598,-111.885678,3.0926,111.51,1395.7,1.16816
25,40.779596,-111.885678,3.0928,111.8,1395.7,1.21816
26,40.779594,-111.885679,3.093,111.49,1395.7,1.26816
27,40.779591,-111.885679,3.0934,110.99,1395.6,1.31816
28,40.779589,-111.885679,3.0936,110.73,1395.6,1.36816
29,40.779587,-111.88568,3.0938,110.89,1395.6,1.41816
30,40.779584,-111.88568,3.0942,111,1395.5,1.46816
31,40.779582,-111.88568,3.0944,111.33,1395.5,1.51816
32,40.779579,-111.885681,3.0947,111.5,1395.5,1.56816
33,40.779577,-111.885681,3.0949,111.41,1395.5,1.61816
34,40.779574,-111.885682,3.0953,110.91,1395.4,1.66816
35,40.779572,-111.885682,3.0955,110.99,1395.4,1.71816
36,40.779569,-111.885682,3.0958,111.23,1395.4,1.76816
37,40.779567,-111.885683,3.0961,111.23,1395.4,1.81816
38,40.779564,-111.885683,3.0964,111.26,1395.4,1.86816
39,40.779562,-111.885683,3.0966,111.36,1395.3,1.91816
40,40.779559,-111.885684,3.0969,111.7,1395.3,1.96816
41,40.779556,-111.885684,3.0973,112.13,1395.3,2.01816
42,40.779554,-111.885685,3.0975,112.76,1395.3,2.06816
43,40.779551,-111.885685,3.0978,113.09,1395.2,2.11816
44,40.779548,-111.885685,3.0982,113.05,1395.2,2.16816
45,40.779546,-111.885686,3.0984,113.07,1395.2,2.21816
46,40.779543,-111.885686,3.0987,113.12,1395.2,2.26816
47,40.77954,-111.885686,3.0991,113.47,1395.1,2.31816
48,40.779537,-111.885686,3.0994,113.48,1395.1,2.36816
49,40.779534,-111.885686,3.0997,113.56,1395.1,2.41816
50,40.779532,-111.885687,3.1,113.74,1395.1,2.46816
51,40.779529,-111.885687,3.1003,114.45,1395,2.51816
52,40.779526,-111.885687,3.1006,114.43,1395,2.56816
53,40.779523,-111.885687,3.1009,113.99,1395,2.61816
54,40.77952,-111.885687,3.1013,113.76,1395,2.66816
55,40.779518,-111.885688,3.1015,114.14,1395,2.71816
56,40.779515,-111.885688,3.1018,114.31,1394.9,2.76816
57,40.779512,-111.885688,3.1022,114.1,1394.9,2.81816
58,40.779509,-111.885688,3.1025,114.09,1394.9,2.86816
